#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.packet.outgoing.delay
#  Description: End-to-End Packet Delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0022000
#  Maximum: 0.0023676
#  Trials: 423
#  Mean: 0.0022004
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000137
#  Coefficient of variation: 0.0037033
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000048
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.9307676
#  (Sum of all values)^2: 0.0020481
#  (Sum of all values)^3: 0.0000045
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0020037
#  P02: 0.0020074
#  P03: 0.0020110
#  P04: 0.0020147
#  P05: 0.0020184
#  P06: 0.0020221
#  P07: 0.0020257
#  P08: 0.0020294
#  P09: 0.0020331
#  P10: 0.0020368
#  P11: 0.0020404
#  P12: 0.0020441
#  P13: 0.0020478
#  P14: 0.0020515
#  P15: 0.0020551
#  P16: 0.0020588
#  P17: 0.0020625
#  P18: 0.0020662
#  P19: 0.0020698
#  P20: 0.0020735
#  P21: 0.0020772
#  P22: 0.0020809
#  P23: 0.0020845
#  P24: 0.0020882
#  P25: 0.0020919
#  P26: 0.0020956
#  P27: 0.0020993
#  P28: 0.0021029
#  P29: 0.0021066
#  P30: 0.0021103
#  P31: 0.0021140
#  P32: 0.0021176
#  P33: 0.0021213
#  P34: 0.0021250
#  P35: 0.0021287
#  P36: 0.0021323
#  P37: 0.0021360
#  P38: 0.0021397
#  P39: 0.0021434
#  P40: 0.0021470
#  P41: 0.0021507
#  P42: 0.0021544
#  P43: 0.0021581
#  P44: 0.0021617
#  P45: 0.0021654
#  P46: 0.0021691
#  P47: 0.0021728
#  P48: 0.0021764
#  P49: 0.0021801
#  P50: 0.0021838
#  P51: 0.0021875
#  P52: 0.0021911
#  P53: 0.0021948
#  P54: 0.0021985
#  P55: 0.0022022
#  P56: 0.0022059
#  P57: 0.0022095
#  P58: 0.0022132
#  P59: 0.0022169
#  P60: 0.0022206
#  P61: 0.0022242
#  P62: 0.0022279
#  P63: 0.0022316
#  P64: 0.0022353
#  P65: 0.0022389
#  P66: 0.0022426
#  P67: 0.0022463
#  P68: 0.0022500
#  P69: 0.0022536
#  P70: 0.0022573
#  P71: 0.0022610
#  P72: 0.0022647
#  P73: 0.0022683
#  P74: 0.0022720
#  P75: 0.0022757
#  P76: 0.0022794
#  P77: 0.0022830
#  P78: 0.0022867
#  P79: 0.0022904
#  P80: 0.0022941
#  P81: 0.0022978
#  P82: 0.0023014
#  P83: 0.0023051
#  P84: 0.0023088
#  P85: 0.0023125
#  P86: 0.0023161
#  P87: 0.0023198
#  P88: 0.0023235
#  P89: 0.0023272
#  P90: 0.0023308
#  P91: 0.0023345
#  P92: 0.0023382
#  P93: 0.0023419
#  P94: 0.0023455
#  P95: 0.0023492
#  P96: 0.0023529
#  P97: 0.0023566
#  P98: 0.0023602
#  P99: 0.0023639
#  P100: 0.0023676
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0710000           1.0000000       0.0000000       0.0000000    71
0.0720000           1.0000000       0.0000000       0.0000000    72
0.0730000           1.0000000       0.0000000       0.0000000    73
0.0740000           1.0000000       0.0000000       0.0000000    74
0.0750000           1.0000000       0.0000000       0.0000000    75
0.0760000           1.0000000       0.0000000       0.0000000    76
0.0770000           1.0000000       0.0000000       0.0000000    77
0.0780000           1.0000000       0.0000000       0.0000000    78
0.0790000           1.0000000       0.0000000       0.0000000    79
0.0800000           1.0000000       0.0000000       0.0000000    80
0.0810000           1.0000000       0.0000000       0.0000000    81
0.0820000           1.0000000       0.0000000       0.0000000    82
0.0830000           1.0000000       0.0000000       0.0000000    83
0.0840000           1.0000000       0.0000000       0.0000000    84
0.0850000           1.0000000       0.0000000       0.0000000    85
0.0860000           1.0000000       0.0000000       0.0000000    86
0.0870000           1.0000000       0.0000000       0.0000000    87
0.0880000           1.0000000       0.0000000       0.0000000    88
0.0890000           1.0000000       0.0000000       0.0000000    89
0.0900000           1.0000000       0.0000000       0.0000000    90
0.0910000           1.0000000       0.0000000       0.0000000    91
0.0920000           1.0000000       0.0000000       0.0000000    92
0.0930000           1.0000000       0.0000000       0.0000000    93
0.0940000           1.0000000       0.0000000       0.0000000    94
0.0950000           1.0000000       0.0000000       0.0000000    95
0.0960000           1.0000000       0.0000000       0.0000000    96
0.0970000           1.0000000       0.0000000       0.0000000    97
0.0980000           1.0000000       0.0000000       0.0000000    98
0.0990000           1.0000000       0.0000000       0.0000000    99
0.1000000           1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
